Código Venda,Data,ID Loja,Produto,Quantidade,Valor Unitário,Valor Final
65139,1/12/2019,Parque Dom Pedro Shopping,Terno Linho,2,750,1500
65140,1/12/2019,Shopping Midway Mall,Cueca Xadrez,2,60,120
65141,1/12/2019,Passei das Águas Shopping,Cueca Liso,1,69,69
65141,1/12/2019,Passei das Águas Shopping,Mochila,3,270,810
65142,1/12/2019,Shopping Midway Mall,Camisa Xadrez,1,105,105
65143,1/12/2019,Novo Shopping Ribeirão Preto,Calça Liso,3,190,570
65143,1/12/2019,Novo Shopping Ribeirão Preto,Cinto Xadrez,1,215,215
65144,1/12/2019,Shopping Eldorado,Calça Xadrez,1,185,185
65145,1/12/2019,Shopping Vila Velha,Cueca Linho,4,93,372
65145,1/12/2019,Shopping Vila Velha,Camisa Liso,1,105,105
65145,1/12/2019,Shopping Vila Velha,Mochila Xadrez,2,283,566
65146,1/12/2019,Salvador Shopping,Camisa Gola V Listrado,5,116,580
65146,1/12/2019,Salvador Shopping,Cinto Xadrez,3,215,645
65146,1/12/2019,Salvador Shopping,Bermuda,4,150,600
65146,1/12/2019,Salvador Shopping,Relógio Liso,3,216,648
65148,1/12/2019,Palladium Shopping Curitiba,Sapato Xadrez,3,368,1104
65150,1/12/2019,Parque Dom Pedro Shopping,Tênis Estampa,1,256,256
65151,1/12/2019,Rio Mar Recife,Camisa Liso,4,105,420
65151,1/12/2019,Rio Mar Recife,Chinelo Estampa,1,74,74
65151,1/12/2019,Rio Mar Recife,Tênis Listrado,1,262,262
65152,1/12/2019,Shopping SP Market,Polo Linho,2,176,352
65152,1/12/2019,Shopping SP Market,Meia Listrado,3,37,111
65152,1/12/2019,Shopping SP Market,Relógio Estampa,2,219,438
65154,1/12/2019,Rio Mar Shopping Fortaleza,Casaco,2,250,500
65154,1/12/2019,Rio Mar Shopping Fortaleza,Calça Listrado,3,181,543
65155,1/12/2019,Palladium Shopping Curitiba,Terno Listrado,1,709,709
65155,1/12/2019,Palladium Shopping Curitiba,Cueca Estampa,1,66,66
65155,1/12/2019,Palladium Shopping Curitiba,Camisa Gola V,4,100,400
65157,1/12/2019,Iguatemi Campinas,Mochila Liso,2,276,552
65157,1/12/2019,Iguatemi Campinas,Relógio Estampa,2,219,438
65157,1/12/2019,Iguatemi Campinas,Terno Linho,3,750,2250
65159,1/12/2019,Shopping Eldorado,Mochila Linho,2,311,622
65160,1/12/2019,Shopping Eldorado,Pulseira Estampa,5,87,435
65160,1/12/2019,Shopping Eldorado,Gorro,1,80,80
65160,1/12/2019,Shopping Eldorado,Short Xadrez,1,100,100
65160,1/12/2019,Shopping Eldorado,Meia Estampa,4,50,200
65161,1/12/2019,Palladium Shopping Curitiba,Calça,1,170,170
65161,1/12/2019,Palladium Shopping Curitiba,Camisa Gola V Listrado,3,116,348
65165,1/12/2019,Shopping Morumbi,Casaco Estampa,1,256,256
65167,1/12/2019,Parque Dom Pedro Shopping,Camisa Gola V Listrado,1,116,116
65168,1/12/2019,Iguatemi Campinas,Chinelo Listrado,1,73,73
65168,1/12/2019,Iguatemi Campinas,Camiseta Estampa,2,196,392
65168,1/12/2019,Iguatemi Campinas,Sapato Liso,2,368,736
65169,1/12/2019,Shopping Iguatemi Fortaleza,Camisa Gola V Liso,4,118,472
65170,1/12/2019,Shopping Eldorado,Terno Estampa,1,706,706
65170,1/12/2019,Shopping Eldorado,Camisa Gola V Liso,2,118,236
65171,1/12/2019,Shopping Barra,Polo Estampa,2,138,276
65171,1/12/2019,Shopping Barra,Meia Listrado,1,37,37
65173,1/12/2019,Rio Mar Recife,Relógio Xadrez,5,214,1070
65174,1/12/2019,Parque Dom Pedro Shopping,Calça,2,170,340
65174,1/12/2019,Parque Dom Pedro Shopping,Pulseira Liso,2,87,174
65175,1/12/2019,Ribeirão Shopping,Camisa Gola V Xadrez,2,107,214
65176,1/12/2019,Shopping SP Market,Camisa Gola V Liso,1,118,118
65176,1/12/2019,Shopping SP Market,Pulseira Listrado,1,79,79
65177,1/12/2019,Parque Dom Pedro Shopping,Terno Linho,1,750,750
65177,1/12/2019,Parque Dom Pedro Shopping,Cinto Linho,1,248,248
65179,1/12/2019,Norte Shopping,Gorro Xadrez,1,85,85
65179,1/12/2019,Norte Shopping,Bermuda,2,150,300
65179,1/12/2019,Norte Shopping,Camisa Gola V Xadrez,5,107,535
65179,1/12/2019,Norte Shopping,Camisa,2,100,200
65179,1/12/2019,Norte Shopping,Camisa,2,100,200
65180,1/12/2019,Iguatemi Campinas,Casaco,1,250,250
65181,1/12/2019,Shopping SP Market,Chinelo Listrado,1,73,73
65182,1/12/2019,Shopping Center Interlagos,Bermuda,1,150,150
65183,1/12/2019,Parque Dom Pedro Shopping,Camisa Gola V,2,100,200
65185,1/12/2019,Shopping SP Market,Short Linho,2,133,266
65185,1/12/2019,Shopping SP Market,Sapato Liso,5,368,1840
65185,1/12/2019,Shopping SP Market,Short Linho,1,133,133
65186,1/12/2019,Parque Dom Pedro Shopping,Polo,1,130,130
65189,1/12/2019,Center Shopping Uberlândia,Camiseta Linho,1,223,223
65189,1/12/2019,Center Shopping Uberlândia,Mochila,2,270,540
65191,1/12/2019,Shopping Barra,Polo Liso,3,137,411
65192,1/12/2019,Shopping Iguatemi Fortaleza,Camisa Gola V Listrado,5,116,580
65192,1/12/2019,Shopping Iguatemi Fortaleza,Gorro Estampa,1,93,93
65193,1/12/2019,Novo Shopping Ribeirão Preto,Short Linho,3,133,399
65193,1/12/2019,Novo Shopping Ribeirão Preto,Tênis Linho,1,294,294
65193,1/12/2019,Novo Shopping Ribeirão Preto,Terno Listrado,1,709,709
65193,1/12/2019,Novo Shopping Ribeirão Preto,Camisa Gola V Linho,1,145,145
65193,1/12/2019,Novo Shopping Ribeirão Preto,Camisa Listrado,5,108,540
65194,1/12/2019,Shopping Midway Mall,Gorro Liso,3,92,276
65195,1/12/2019,Iguatemi Campinas,Relógio Xadrez,1,214,214
65195,1/12/2019,Iguatemi Campinas,Bermuda Listrado,3,163,489
65196,1/12/2019,Center Shopping Uberlândia,Pulseira Xadrez,2,87,174
65196,1/12/2019,Center Shopping Uberlândia,Terno Linho,1,750,750
65196,1/12/2019,Center Shopping Uberlândia,Cueca Xadrez,1,60,60
65197,1/12/2019,Norte Shopping,Sunga Linho,2,149,298
65198,1/12/2019,Iguatemi Campinas,Bermuda Linho,3,195,585
65200,1/12/2019,Parque Dom Pedro Shopping,Relógio Liso,2,216,432
65200,1/12/2019,Parque Dom Pedro Shopping,Polo Estampa,1,138,138
65200,1/12/2019,Parque Dom Pedro Shopping,Sunga Liso,2,114,228
65200,1/12/2019,Parque Dom Pedro Shopping,Camisa Gola V Liso,5,118,590
65201,1/12/2019,Bourbon Shopping SP,Sapato,2,350,700
65201,1/12/2019,Bourbon Shopping SP,Casaco Xadrez,2,259,518
65202,1/12/2019,Shopping União de Osasco,Sunga,1,100,100
65202,1/12/2019,Shopping União de Osasco,Casaco Liso,5,255,1275
65202,2/12/2019,Shopping União de Osasco,Relógio Xadrez,1,214,214
65202,2/12/2019,Shopping União de Osasco,Mochila Linho,1,311,311
65204,2/12/2019,Shopping Iguatemi Fortaleza,Gorro Estampa,1,93,93
65204,2/12/2019,Shopping Iguatemi Fortaleza,Cinto Linho,2,248,496
65204,2/12/2019,Shopping Iguatemi Fortaleza,Bermuda Linho,4,195,780
65204,2/12/2019,Shopping Iguatemi Fortaleza,Sapato Listrado,1,363,363
65204,2/12/2019,Shopping Iguatemi Fortaleza,Gorro Linho,2,124,248
65205,2/12/2019,Shopping Center Leste Aricanduva,Cinto Listrado,1,214,214
65206,2/12/2019,Shopping União de Osasco,Pulseira Xadrez,3,87,261
65207,2/12/2019,Iguatemi Campinas,Cueca Linho,2,93,186
65207,2/12/2019,Iguatemi Campinas,Relógio Listrado,2,218,436
65208,2/12/2019,Shopping Center Interlagos,Bermuda Xadrez,3,155,465
65209,2/12/2019,Shopping Iguatemi Fortaleza,Calça Estampa,1,177,177
65210,2/12/2019,Shopping Morumbi,Camisa,1,100,100
65210,2/12/2019,Shopping Morumbi,Relógio Estampa,2,219,438
65211,2/12/2019,Iguatemi Esplanada,Meia Estampa,1,50,50
65212,2/12/2019,Shopping Recife,Camisa Xadrez,3,105,315
65212,2/12/2019,Shopping Recife,Short Estampa,4,96,384
65215,2/12/2019,Palladium Shopping Curitiba,Short Estampa,1,96,96
65215,2/12/2019,Palladium Shopping Curitiba,Casaco Xadrez,1,259,259
65215,2/12/2019,Palladium Shopping Curitiba,Tênis Estampa,2,256,512
65216,2/12/2019,Salvador Shopping,Short Liso,1,108,108
65216,2/12/2019,Salvador Shopping,Camisa Gola V Xadrez,2,107,214
65216,2/12/2019,Salvador Shopping,Sunga,3,100,300
65217,2/12/2019,Norte Shopping,Short Listrado,2,102,204
65217,2/12/2019,Norte Shopping,Camiseta Estampa,4,196,784
65217,2/12/2019,Norte Shopping,Chinelo Liso,1,71,71
65218,2/12/2019,Shopping Midway Mall,Calça Estampa,5,177,885
65219,2/12/2019,Novo Shopping Ribeirão Preto,Cinto Linho,4,248,992
65221,2/12/2019,Iguatemi Esplanada,Sunga Listrado,1,114,114
65221,2/12/2019,Iguatemi Esplanada,Polo Estampa,2,138,276
65222,2/12/2019,Shopping SP Market,Casaco Estampa,1,256,256
65222,2/12/2019,Shopping SP Market,Casaco Linho,1,299,299
65225,2/12/2019,Shopping Ibirapuera,Cueca Listrado,1,67,67
65226,2/12/2019,Shopping Iguatemi Fortaleza,Meia Listrado,3,37,111
65227,2/12/2019,Shopping Barra,Casaco,2,250,500
65227,2/12/2019,Shopping Barra,Polo,1,130,130
65228,2/12/2019,Shopping União de Osasco,Camiseta Linho,3,223,669
65230,2/12/2019,Passei das Águas Shopping,Terno Xadrez,1,709,709
65231,2/12/2019,Ribeirão Shopping,Casaco Estampa,2,256,512
65233,2/12/2019,Center Shopping Uberlândia,Gorro Linho,2,124,248
65235,2/12/2019,Ribeirão Shopping,Meia Estampa,5,50,250
65235,2/12/2019,Ribeirão Shopping,Gorro Linho,5,124,620
65235,2/12/2019,Ribeirão Shopping,Pulseira Xadrez,3,87,261
65236,2/12/2019,Shopping Recife,Sunga Xadrez,4,116,464
65237,2/12/2019,Rio Mar Shopping Fortaleza,Cueca Linho,1,93,93
65238,2/12/2019,Novo Shopping Ribeirão Preto,Terno Xadrez,4,709,2836
65238,2/12/2019,Novo Shopping Ribeirão Preto,Meia Liso,2,38,76
65238,2/12/2019,Novo Shopping Ribeirão Preto,Tênis,3,250,750
65238,2/12/2019,Novo Shopping Ribeirão Preto,Tênis Listrado,1,262,262
65238,2/12/2019,Novo Shopping Ribeirão Preto,Relógio Listrado,3,218,654
65239,2/12/2019,Center Shopping Uberlândia,Casaco,2,250,500
65239,2/12/2019,Center Shopping Uberlândia,Meia Estampa,1,50,50
65240,2/12/2019,Shopping Ibirapuera,Calça Estampa,1,177,177
65240,2/12/2019,Shopping Ibirapuera,Relógio Xadrez,2,214,428
65241,2/12/2019,Shopping SP Market,Short Linho,2,133,266
65242,2/12/2019,Shopping Ibirapuera,Sunga Linho,2,149,298
65242,2/12/2019,Shopping Ibirapuera,Polo Listrado,1,149,149
65242,2/12/2019,Shopping Ibirapuera,Casaco Xadrez,2,259,518
65243,2/12/2019,Shopping Eldorado,Sapato Listrado,1,363,363
65246,2/12/2019,Salvador Shopping,Gorro Listrado,3,97,291
65247,2/12/2019,Ribeirão Shopping,Camisa Gola V Listrado,1,116,116
65247,2/12/2019,Ribeirão Shopping,Calça Liso,2,190,380
65248,2/12/2019,Palladium Shopping Curitiba,Short Liso,2,108,216
65249,2/12/2019,Shopping Center Interlagos,Sunga Listrado,3,114,342
65249,2/12/2019,Shopping Center Interlagos,Cueca,1,50,50
65249,2/12/2019,Shopping Center Interlagos,Meia,3,30,90
65250,2/12/2019,Shopping Vila Velha,Camiseta Liso,1,187,187
65250,2/12/2019,Shopping Vila Velha,Sapato Linho,3,391,1173
65250,2/12/2019,Shopping Vila Velha,Pulseira,2,70,140
65250,2/12/2019,Shopping Vila Velha,Terno Xadrez,1,709,709
65251,2/12/2019,Shopping Morumbi,Camiseta Linho,1,223,223
65252,2/12/2019,Novo Shopping Ribeirão Preto,Cinto Listrado,2,214,428
65254,2/12/2019,Shopping Eldorado,Mochila Xadrez,1,283,283
65255,2/12/2019,Palladium Shopping Curitiba,Chinelo Xadrez,2,66,132
65255,2/12/2019,Palladium Shopping Curitiba,Terno Listrado,2,709,1418
65255,2/12/2019,Palladium Shopping Curitiba,Sapato Listrado,3,363,1089
65255,2/12/2019,Palladium Shopping Curitiba,Camisa Gola V Estampa,2,118,236
65256,2/12/2019,Bourbon Shopping SP,Camisa Estampa,3,113,339
65256,2/12/2019,Bourbon Shopping SP,Bermuda Liso,3,157,471
65258,2/12/2019,Shopping Vila Velha,Cinto Xadrez,2,215,430
65260,2/12/2019,Rio Mar Recife,Camisa Listrado,2,108,216
65260,2/12/2019,Rio Mar Recife,Tênis Estampa,2,256,512
65261,2/12/2019,Parque Dom Pedro Shopping,Bermuda Estampa,2,169,338
65261,2/12/2019,Parque Dom Pedro Shopping,Sunga,1,100,100
65261,2/12/2019,Parque Dom Pedro Shopping,Gorro Liso,3,92,276
65262,2/12/2019,Shopping Barra,Cinto Liso,2,209,418
65263,2/12/2019,Center Shopping Uberlândia,Terno,5,700,3500
65263,2/12/2019,Center Shopping Uberlândia,Chinelo Liso,5,71,355
65263,2/12/2019,Center Shopping Uberlândia,Pulseira Linho,2,114,228
65263,2/12/2019,Center Shopping Uberlândia,Camiseta Xadrez,5,200,1000
65264,2/12/2019,Shopping Eldorado,Chinelo,3,60,180
65265,2/12/2019,Center Shopping Uberlândia,Relógio Estampa,3,219,657
65266,2/12/2019,Shopping Vila Velha,Sunga Liso,2,114,228
65267,2/12/2019,Shopping Ibirapuera,Meia Liso,1,38,38
65268,2/12/2019,Shopping União de Osasco,Cueca,3,50,150
65268,2/12/2019,Shopping União de Osasco,Pulseira Estampa,3,87,261
65269,2/12/2019,Rio Mar Recife,Pulseira Listrado,2,79,158
65270,2/12/2019,Shopping Vila Velha,Meia Estampa,5,50,250
65271,2/12/2019,Shopping SP Market,Short Linho,2,133,266
